Year,Month,Number of Employees,Total Windows Assets,Total MAC Assets,Windows Assets Purchased,MAC Assets Purchased,Windows Assets Expiring,MAC Assets Expiring
1985,Dec,28610,17166,11444,1430,1144,858,572
1985,Jan,28975,17385,11590,1448,1159,869,579
1985,Feb,29339,17603,11735,1466,1173,880,586
1985,Mar,29704,17822,11881,1485,1188,891,594
1986,Apr,33234,19940,13293,1661,1329,997,664
1986,May,33637,20182,13454,1681,1345,1009,672
1986,Jun,34041,20424,13616,1702,1361,1021,680
1986,Jul,34445,20667,13778,1722,1377,1033,688
1986,Aug,34848,20908,13939,1742,1393,1045,696
1986,Sep,35251,21150,14100,1762,1410,1057,705
1986,Oct,32259,19355,12903,1612,1290,967,645
1986,Nov,32623,19573,13049,1631,1304,978,652
1986,Dec,32988,19792,13195,1649,1319,989,659
1986,Jan,33353,20011,13341,1667,1334,1000,667
1986,Feb,33718,20230,13487,1685,1348,1011,674
1986,Mar,34083,20449,13633,1704,1363,1022,681
1987,Apr,38074,22844,15229,1903,1522,1142,761
1987,May,38477,23086,15390,1923,1539,1154,769
1987,Jun,38880,23328,15552,1944,1555,1166,777
1987,Jul,39283,23569,15713,1964,1571,1178,785
1987,Aug,39686,23811,15874,1984,1587,1190,793
1987,Sep,40090,24054,16036,2004,1603,1202,801
1987,Oct,36636,21981,14654,1831,1465,1099,732
1987,Nov,37002,22201,14800,1850,1480,1110,740
1987,Dec,37367,22420,14946,1868,1494,1121,747
1987,Jan,37732,22639,15092,1886,1509,1131,754
1987,Feb,38096,22857,15238,1904,1523,1142,761
1987,Mar,38461,23076,15384,1923,1538,1153,769
1988,Apr,42913,25747,17165,2145,1716,1287,858
1988,May,43316,25989,17326,2165,1732,1299,866
1988,Jun,43719,26231,17487,2185,1748,1311,874
1988,Jul,44123,26473,17649,2206,1764,1323,882
1988,Aug,44526,26715,17810,2226,1781,1335,890
1988,Sep,44929,26957,17971,2246,1797,1347,898
1988,Oct,41015,24609,16406,2050,1640,1230,820
1988,Nov,41380,24828,16552,2069,1655,1241,827
1988,Dec,41744,25046,16697,2087,1669,1252,834
1988,Jan,42109,25265,16843,2105,1684,1263,842
1988,Feb,42474,25484,16989,2123,1698,1274,849
1988,Mar,42839,25703,17135,2141,1713,1285,856
1989,Apr,47752,28651,19100,2387,1910,1432,955
1989,May,48156,28893,19262,2407,1926,1444,963
1989,Jun,48559,29135,19423,2427,1942,1456,971
1989,Jul,48962,29377,19584,2448,1958,1468,979
1989,Aug,49365,29619,19746,2468,1974,1480,987
1989,Sep,49768,29860,19907,2488,1990,1493,995
1989,Oct,45393,27235,18157,2269,1815,1361,907
1989,Nov,45758,27454,18303,2287,1830,1372,915
1989,Dec,46123,27673,18449,2306,1844,1383,922
1989,Jan,46488,27892,18595,2324,1859,1394,929
1989,Feb,46853,28111,18741,2342,1874,1405,937
1989,Mar,47217,28330,18886,2360,1888,1416,944
1990,Apr,52699,31619,21079,2634,2107,1580,1053
1990,May,53576,32145,21430,2678,2143,1607,1071
1990,Jun,54453,32671,21781,2722,2178,1633,1089
1990,Jul,55328,33196,22131,2766,2213,1659,1106
1990,Aug,56205,33723,22482,2810,2248,1686,1124
1990,Sep,57082,34249,22832,2854,2283,1712,1141
1990,Oct,52439,31463,20975,2621,2097,1573,1048
1990,Nov,53232,31939,21292,2661,2129,1596,1064
1990,Dec,54025,32415,21610,2701,2161,1620,1080
1990,Jan,54818,32890,21927,2740,2192,1644,1096
1990,Feb,55612,33367,22244,2780,2224,1668,1112
1990,Mar,56405,33843,22562,2820,2256,1692,1128
1991,Apr,63219,37931,25287,3160,2528,1896,1264
1991,May,64096,38457,25638,3204,2563,1922,1281
1991,Jun,64972,38983,25988,3248,2598,1949,1299
1991,Jul,65848,39508,26339,3292,2633,1975,1316
1991,Aug,66725,40035,26690,3336,2669,2001,1334
1991,Sep,67602,40561,27040,3380,2704,2028,1352
1991,Oct,61957,37174,24782,3097,2478,1858,1239
1991,Nov,62750,37650,25100,3137,2510,1882,1255
1991,Dec,63543,38125,25417,3177,2541,1906,1270
1991,Jan,64336,38601,25734,3216,2573,1930,1286
1991,Feb,65130,39078,26052,3256,2605,1953,1302
1991,Mar,65923,39553,26369,3296,2636,1977,1318
1992,Apr,73739,44243,29495,3686,2949,2212,1474
1992,May,74616,44769,29846,3730,2984,2238,1492
1992,Jun,75492,45295,30196,3774,3019,2264,1509
1992,Jul,76368,45820,30547,3818,3054,2291,1527
1992,Aug,77245,46347,30898,3862,3089,2317,1544
1992,Sep,78122,46873,31248,3906,3124,2343,1562
1992,Oct,71475,42885,28590,3573,2859,2144,1429
1992,Nov,72268,43360,28907,3613,2890,2168,1445
1992,Dec,73061,43836,29224,3653,2922,2191,1461
1992,Jan,73854,44312,29541,3692,2954,2215,1477
1992,Feb,74648,44788,29859,3732,2985,2239,1492
1992,Mar,75441,45264,30176,3772,3017,2263,1508
1993,Apr,84259,50555,33703,4212,3370,2527,1685
1993,May,85136,51081,34054,4256,3405,2554,1702
1993,Jun,86012,51607,34404,4300,3440,2580,1720
1993,Jul,86888,52132,34755,4344,3475,2606,1737
1993,Aug,87765,52659,35106,4388,3510,2632,1755
1993,Sep,88642,53185,35456,4432,3545,2659,1772
1993,Oct,80993,48595,32397,4049,3239,2429,1619
1993,Nov,81786,49071,32714,4089,3271,2453,1635
1993,Dec,82579,49547,33031,4128,3303,2477,1651
1993,Jan,83372,50023,33348,4168,3334,2501,1667
1993,Feb,84166,50499,33666,4208,3366,2524,1683
1993,Mar,84959,50975,33983,4247,3398,2548,1699
1994,Apr,94779,56867,37911,4738,3791,2843,1895
1994,May,95656,57393,38262,4782,3826,2869,1913
1994,Jun,96531,57918,38612,4826,3861,2895,1930
1994,Jul,97408,58444,38963,4870,3896,2922,1948
1994,Aug,98285,58971,39314,4914,3931,2948,1965
1994,Sep,99162,59497,39664,4958,3966,2974,1983
1994,Oct,90511,54306,36204,4525,3620,2715,1810
1994,Nov,91304,54782,36521,4565,3652,2739,1826
1994,Dec,92097,55258,36838,4604,3683,2762,1841
1994,Jan,92891,55734,37156,4644,3715,2786,1857
1994,Feb,93684,56210,37473,4684,3747,2810,1873
1994,Mar,94477,56686,37790,4723,3779,2834,1889
1995,Apr,105299,63179,42119,5264,4211,3158,2105
1995,May,106176,63705,42470,5308,4247,3185,2123
1995,Jun,107051,64230,42820,5352,4282,3211,2141
1995,Jul,107928,64756,43171,5396,4317,3237,2158
1995,Aug,108805,65283,43522,5440,4352,3264,2176
1995,Sep,109681,65808,43872,5484,4387,3290,2193
1995,Oct,100029,60017,40011,5001,4001,3000,2000
1995,Nov,100822,60493,40328,5041,4032,3024,2016
1995,Dec,101615,60969,40646,5080,4064,3048,2032
1995,Jan,102409,61445,40963,5120,4096,3072,2048
1995,Feb,103202,61921,41280,5160,4128,3096,2064
1995,Mar,103995,62397,41598,5199,4159,3119,2079
1996,Apr,115819,69491,46327,5790,4632,3474,2316
1996,May,116695,70017,46678,5834,4667,3500,2333
1996,Jun,117571,70542,47028,5878,4702,3527,2351
1996,Jul,118448,71068,47379,5922,4737,3553,2368
1996,Aug,119325,71595,47730,5966,4773,3579,2386
1996,Sep,120201,72120,48080,6010,4808,3606,2404
1996,Oct,109547,65728,43818,5477,4381,3286,2190
1996,Nov,110340,66204,44136,5517,4413,3310,2206
1996,Dec,111133,66679,44453,5556,4445,3333,2222
1996,Jan,111927,67156,44770,5596,4477,3357,2238
1996,Feb,112720,67632,45088,5636,4508,3381,2254
1996,Mar,113513,68107,45405,5675,4540,3405,2270
1997,Apr,126339,75803,50535,6316,5053,3790,2526
1997,May,127214,76328,50885,6360,5088,3816,2544
1997,Jun,128091,76854,51236,6404,5123,3842,2561
1997,Jul,128968,77380,51587,6448,5158,3869,2579
1997,Aug,129845,77907,51938,6492,5193,3895,2596
1997,Sep,130721,78432,52288,6536,5228,3921,2614
1997,Oct,119065,71439,47626,5953,4762,3571,2381
1997,Nov,119858,71914,47943,5992,4794,3595,2397
1997,Dec,120651,72390,48260,6032,4826,3619,2413
1997,Jan,121445,72867,48578,6072,4857,3643,2428
1997,Feb,122238,73342,48895,6111,4889,3667,2444
1997,Mar,123031,73818,49212,6151,4921,3690,2460
1998,Apr,136859,82115,54743,6842,5474,4105,2737
1998,May,137734,82640,55093,6886,5509,4132,2754
1998,Jun,138611,83166,55444,6930,5544,4158,2772
1998,Jul,139488,83692,55795,6974,5579,4184,2789
1998,Aug,140365,84219,56146,7018,5614,4210,2807
1998,Sep,141241,84744,56496,7062,5649,4237,2824
1998,Oct,128583,77149,51433,6429,5143,3857,2571
1998,Nov,129376,77625,51750,6468,5175,3881,2587
1998,Dec,130169,78101,52067,6508,5206,3905,2603
1998,Jan,130963,78577,52385,6548,5238,3928,2619
1998,Feb,131756,79053,52702,6587,5270,3952,2635
1998,Mar,132549,79529,53019,6627,5301,3976,2650
1999,Apr,147379,88427,58951,7368,5895,4421,2947
1999,May,148254,88952,59301,7412,5930,4447,2965
1999,Jun,149131,89478,59652,7456,5965,4473,2982
1999,Jul,150008,90004,60003,7500,6000,4500,3000
1999,Aug,150885,90531,60354,7544,6035,4526,3017
1999,Sep,151761,91056,60704,7588,6070,4552,3035
1999,Oct,138101,82860,55240,6905,5524,4143,2762
1999,Nov,138894,83336,55557,6944,5555,4166,2777
1999,Dec,139688,83812,55875,6984,5587,4190,2793
1999,Jan,140481,84288,56192,7024,5619,4214,2809
1999,Feb,141274,84764,56509,7063,5650,4238,2825
1999,Mar,142067,85240,56826,7103,5682,4262,2841
2000,Apr,157200,94320,62880,7860,6288,4716,3144
2000,May,156543,93925,62617,7827,6261,4696,3130
2000,Jun,155886,93531,62354,7794,6235,4676,3117
2000,Jul,155228,93136,62091,7761,6209,4656,3104
2000,Aug,154571,92742,61828,7728,6182,4637,3091
2000,Sep,153913,92347,61565,7695,6156,4617,3078
2000,Oct,138660,83196,55464,6933,5546,4159,2773
2000,Nov,138065,82839,55226,6903,5522,4141,2761
2000,Dec,137470,82482,54988,6873,5498,4124,2749
2000,Jan,136876,82125,54750,6843,5475,4106,2737
2000,Feb,136281,81768,54512,6814,5451,4088,2725
2000,Mar,135685,81411,54274,6784,5427,4070,2713
2001,Apr,149311,89586,59724,7465,5972,4479,2986
2001,May,148653,89191,59461,7432,5946,4459,2973
2001,Jun,147996,88797,59198,7399,5919,4439,2959
2001,Jul,147339,88403,58935,7366,5893,4420,2946
2001,Aug,146680,88008,58672,7334,5867,4400,2933
2001,Sep,146023,87613,58409,7301,5840,4380,2920
2001,Oct,131521,78912,52608,6576,5260,3945,2630
2001,Nov,130927,78556,52370,6546,5237,3927,2618
2001,Dec,130332,78199,52132,6516,5213,3909,2606
2001,Jan,129736,77841,51894,6486,5189,3892,2594
2001,Feb,129142,77485,51656,6457,5165,3874,2582
2001,Mar,128547,77128,51418,6427,5141,3856,2570
2002,Apr,141421,84852,56568,7071,5656,4242,2828
2002,May,140764,84458,56305,7038,5630,4222,2815
2002,Jun,140106,84063,56042,7005,5604,4203,2802
2002,Jul,139448,83668,55779,6972,5577,4183,2788
2002,Aug,138791,83274,55516,6939,5551,4163,2775
2002,Sep,138133,82879,55253,6906,5525,4143,2762
2002,Oct,124383,74629,49753,6219,4975,3731,2487
2002,Nov,123788,74272,49515,6189,4951,3713,2475
2002,Dec,123193,73915,49277,6159,4927,3695,2463
2002,Jan,122598,73558,49039,6129,4903,3677,2451
2002,Feb,122003,73201,48801,6100,4880,3660,2440
2002,Mar,121409,72845,48563,6070,4856,3642,2428
2003,Apr,133531,80118,53412,6676,5341,4005,2670
2003,May,132873,79723,53149,6643,5314,3986,2657
2003,Jun,132216,79329,52886,6610,5288,3966,2644
2003,Jul,131558,78934,52623,6577,5262,3946,2631
2003,Aug,130901,78540,52360,6545,5236,3927,2618
2003,Sep,130244,78146,52097,6512,5209,3907,2604
2003,Oct,117245,70347,46898,5862,4689,3517,2344
2003,Nov,116649,69989,46659,5832,4665,3499,2332
2003,Dec,116054,69632,46421,5802,4642,3481,2321
2003,Jan,115460,69276,46184,5773,4618,3463,2309
2003,Feb,114865,68919,45946,5743,4594,3445,2297
2003,Mar,114270,68562,45708,5713,4570,3428,2285
2004,Apr,127434,76460,50973,6371,5097,3823,2548
2004,May,130064,78038,52025,6503,5202,3901,2601
2004,Jun,132694,79616,53077,6634,5307,3980,2653
2004,Jul,135324,81194,54129,6766,5412,4059,2706
2004,Aug,137954,82772,55181,6897,5518,4138,2759
2004,Sep,140584,84350,56233,7029,5623,4217,2811
2004,Oct,129575,77745,51830,6478,5183,3887,2591
2004,Nov,131954,79172,52781,6597,5278,3958,2639
2004,Dec,134333,80599,53733,6716,5373,4029,2686
2004,Jan,136713,82027,54685,6835,5468,4101,2734
2004,Feb,139093,83455,55637,6954,5563,4172,2781
2004,Mar,141472,84883,56588,7073,5658,4244,2829
2005,Apr,157997,94798,63198,7899,6319,4739,3159
2005,May,158874,95324,63549,7943,6354,4766,3177
2005,Jun,159751,95850,63900,7987,6390,4792,3195
2005,Jul,160627,96376,64250,8031,6425,4818,3212
2005,Aug,161504,96902,64601,8075,6460,4845,3230
2005,Sep,162381,97428,64952,8119,6495,4871,3247
2005,Oct,147709,88625,59083,7385,5908,4431,2954
2005,Nov,148503,89101,59401,7425,5940,4455,2970
2005,Dec,149296,89577,59718,7464,5971,4478,2985
2005,Jan,150089,90053,60035,7504,6003,4502,3001
2005,Feb,150882,90529,60352,7544,6035,4526,3017
2005,Mar,151675,91005,60670,7583,6067,4550,3033
2006,Apr,168517,101110,67406,8425,6740,5055,3370
2006,May,169394,101636,67757,8469,6775,5081,3387
2006,Jun,170271,102162,68108,8513,6810,5108,3405
2006,Jul,171147,102688,68458,8557,6845,5134,3422
2006,Aug,172024,103214,68809,8601,6880,5160,3440
2006,Sep,172901,103740,69160,8645,6916,5187,3458
2006,Oct,157227,94336,62890,7861,6289,4716,3144
2006,Nov,158021,94812,63208,7901,6320,4740,3160
2006,Dec,158814,95288,63525,7940,6352,4764,3176
2006,Jan,159607,95764,63842,7980,6384,4788,3192
2006,Feb,160400,96240,64160,8020,6416,4812,3208
2006,Mar,161193,96715,64477,8059,6447,4835,3223
2007,Apr,179037,107422,71614,8951,7161,5371,3580
2007,May,179914,107948,71965,8995,7196,5397,3598
2007,Jun,180791,108474,72316,9039,7231,5423,3615
2007,Jul,181667,109000,72666,9083,7266,5450,3633
2007,Aug,182544,109526,73017,9127,7301,5476,3650
2007,Sep,183421,110052,73368,9171,7336,5502,3668
2007,Oct,166745,100047,66698,8337,6669,5002,3334
2007,Nov,167539,100523,67015,8376,6701,5026,3350
2007,Dec,168332,100999,67332,8416,6733,5049,3366
2007,Jan,169125,101475,67650,8456,6765,5073,3382
2007,Feb,169917,101950,67966,8495,6796,5097,3398
2007,Mar,170711,102426,68284,8535,6828,5121,3414
2008,Apr,188760,113256,75504,9438,7550,5662,3775
2008,May,188384,113030,75353,9419,7535,5651,3767
2008,Jun,188009,112805,75203,9400,7520,5640,3760
2008,Jul,187633,112579,75053,9381,7505,5628,3752
2008,Aug,187258,112354,74903,9362,7490,5617,3745
2008,Sep,186882,112129,74752,9344,7475,5606,3737
2008,Oct,168743,101245,67497,8437,6749,5062,3374
2008,Nov,168404,101042,67361,8420,6736,5052,3368
2008,Dec,168064,100838,67225,8403,6722,5041,3361
2008,Jan,167724,100634,67089,8386,6708,5031,3354
2008,Feb,167384,100430,66953,8369,6695,5021,3347
2008,Mar,167044,100226,66817,8352,6681,5011,3340
2009,Apr,184251,110550,73700,9212,7370,5527,3685
2009,May,183877,110326,73550,9193,7355,5516,3677
2009,Jun,183501,110100,73400,9175,7340,5505,3670
2009,Jul,183125,109875,73250,9156,7325,5493,3662
2009,Aug,182749,109649,73099,9137,7309,5482,3654
2009,Sep,182373,109423,72949,9118,7294,5471,3647
2009,Oct,164665,98799,65866,8233,6586,4939,3293
2009,Nov,164325,98595,65730,8216,6573,4929,3286
2009,Dec,163985,98391,65594,8199,6559,4919,3279
2009,Jan,163645,98187,65458,8182,6545,4909,3272
2009,Feb,163305,97983,65322,8165,6532,4899,3266
2009,Mar,162964,97778,65185,8148,6518,4888,3259
2010,Apr,179744,107846,71897,8987,7189,5392,3594
2010,May,179368,107620,71747,8968,7174,5381,3587
2010,Jun,178992,107395,71596,8949,7159,5369,3579
2010,Jul,178616,107169,71446,8930,7144,5358,3572
2010,Aug,178240,106944,71296,8912,7129,5347,3564
2010,Sep,177865,106719,71146,8893,7114,5335,3557
2010,Oct,160586,96351,64234,8029,6423,4817,3211
2010,Nov,160246,96147,64098,8012,6409,4807,3204
2010,Dec,159905,95943,63962,7995,6396,4797,3198
2010,Jan,159565,95739,63826,7978,6382,4786,3191
2010,Feb,159225,95535,63690,7961,6369,4776,3184
2010,Mar,158886,95331,63554,7944,6355,4766,3177
2011,Apr,175235,105141,70094,8761,7009,5257,3504
2011,May,174859,104915,69943,8742,6994,5245,3497
2011,Jun,174483,104689,69793,8724,6979,5234,3489
2011,Jul,174107,104464,69642,8705,6964,5223,3482
2011,Aug,173731,104238,69492,8686,6949,5211,3474
2011,Sep,173357,104014,69342,8667,6934,5200,3467
2011,Oct,156506,93903,62602,7825,6260,4695,3130
2011,Nov,156166,93699,62466,7808,6246,4684,3123
2011,Dec,155826,93495,62330,7791,6233,4674,3116
2011,Jan,155486,93291,62194,7774,6219,4664,3109
2011,Feb,155147,93088,62058,7757,6205,4654,3102
2011,Mar,154807,92884,61922,7740,6192,4644,3096
2012,Apr,170726,102435,68290,8536,6829,5121,3414
2012,May,170350,102210,68140,8517,6814,5110,3407
2012,Jun,169975,101985,67990,8498,6799,5099,3399
2012,Jul,169599,101759,67839,8479,6783,5087,3391
2012,Aug,169224,101534,67689,8461,6768,5076,3384
2012,Sep,168848,101308,67539,8442,6753,5065,3376
2012,Oct,152427,91456,60970,7621,6097,4572,3048
2012,Nov,152087,91252,60834,7604,6083,4562,3041
2012,Dec,151747,91048,60698,7587,6069,4552,3034
2012,Jan,151408,90844,60563,7570,6056,4542,3028
2012,Feb,151068,90640,60427,7553,6042,4532,3021
2012,Mar,150727,90436,60290,7536,6029,4521,3014
2013,Apr,166218,99730,66487,8310,6648,4986,3324
2013,May,165842,99505,66336,8292,6633,4975,3316
2013,Jun,165466,99279,66186,8273,6618,4963,3309
2013,Jul,165091,99054,66036,8254,6603,4952,3301
2013,Aug,164715,98829,65886,8235,6588,4941,3294
2013,Sep,164339,98603,65735,8216,6573,4930,3286
2013,Oct,148348,89008,59339,7417,5933,4450,2966
2013,Nov,148008,88804,59203,7400,5920,4440,2960
2013,Dec,147668,88600,59067,7383,5906,4430,2953
2013,Jan,147328,88396,58931,7366,5893,4419,2946
2013,Feb,146988,88192,58795,7349,5879,4409,2939
2013,Mar,146648,87988,58659,7332,5865,4399,2932
2014,Apr,161709,97025,64683,8085,6468,4851,3234
2014,May,161333,96799,64533,8066,6453,4839,3226
2014,Jun,160958,96574,64383,8047,6438,4828,3219
2014,Jul,160582,96349,64232,8029,6423,4817,3211
2014,Aug,160206,96123,64082,8010,6408,4806,3204
2014,Sep,159831,95898,63932,7991,6393,4794,3196
2014,Oct,144268,86560,57707,7213,5770,4328,2885
2014,Nov,143928,86356,57571,7196,5757,4317,2878
2014,Dec,143589,86153,57435,7179,5743,4307,2871
2014,Jan,143249,85949,57299,7162,5729,4297,2864
2014,Feb,142909,85745,57163,7145,5716,4287,2858
2014,Mar,142569,85541,57027,7128,5702,4277,2851
2015,Apr,158197,94918,63278,7909,6327,4745,3163
2015,May,159073,95443,63629,7953,6362,4772,3181
2015,Jun,159950,95970,63980,7997,6398,4798,3199
2015,Jul,160827,96496,64330,8041,6433,4824,3216
2015,Aug,161704,97022,64681,8085,6468,4851,3234
2015,Sep,162580,97548,65032,8129,6503,4877,3251
2015,Oct,147890,88734,59156,7394,5915,4436,2957
2015,Nov,148683,89209,59473,7434,5947,4460,2973
2015,Dec,149475,89685,59790,7473,5979,4484,2989
2015,Jan,150269,90161,60107,7513,6010,4508,3005
2015,Feb,151062,90637,60424,7553,6042,4531,3021
2015,Mar,151855,91113,60742,7592,6074,4555,3037
2016,Apr,168717,101230,67486,8435,6748,5061,3374
2016,May,169593,101755,67837,8479,6783,5087,3391
2016,Jun,170470,102282,68188,8523,6818,5114,3409
2016,Jul,171347,102808,68538,8567,6853,5140,3426
2016,Aug,172224,103334,68889,8611,6888,5166,3444
2016,Sep,173100,103860,69240,8655,6924,5193,3462
2016,Oct,157408,94444,62963,7870,6296,4722,3148
2016,Nov,158201,94920,63280,7910,6328,4746,3164
2016,Dec,158993,95395,63597,7949,6359,4769,3179
2016,Jan,159787,95872,63914,7989,6391,4793,3195
2016,Feb,160580,96348,64232,8029,6423,4817,3211
2016,Mar,161373,96823,64549,8068,6454,4841,3227
2017,Apr,179237,107542,71694,8961,7169,5377,3584
2017,May,180113,108067,72045,9005,7204,5403,3602
2017,Jun,180990,108594,72396,9049,7239,5429,3619
2017,Jul,181867,109120,72746,9093,7274,5456,3637
2017,Aug,182744,109646,73097,9137,7309,5482,3654
2017,Sep,183620,110172,73448,9181,7344,5508,3672
2017,Oct,166926,100155,66770,8346,6677,5007,3338
2017,Nov,167718,100630,67087,8385,6708,5031,3354
2017,Dec,168511,101106,67404,8425,6740,5055,3370
2017,Jan,169305,101583,67722,8465,6772,5079,3386
2017,Feb,170098,102058,68039,8504,6803,5102,3401
2017,Mar,170891,102534,68356,8544,6835,5126,3417
2018,Apr,189757,113854,75902,9487,7590,5692,3795
2018,May,190633,114379,76253,9531,7625,5718,3812
2018,Jun,191510,114906,76604,9575,7660,5745,3830
2018,Jul,192387,115432,76954,9619,7695,5771,3847
2018,Aug,193264,115958,77305,9663,7730,5797,3865
2018,Sep,194140,116484,77656,9707,7765,5824,3882
2018,Oct,176444,105866,70577,8822,7057,5293,3528
2018,Nov,177236,106341,70894,8861,7089,5317,3544
2018,Dec,178030,106818,71212,8901,7121,5340,3560
2018,Jan,178823,107293,71529,8941,7152,5364,3576
2018,Feb,179616,107769,71846,8980,7184,5388,3592
2018,Mar,180409,108245,72163,9020,7216,5412,3608
2019,Apr,200277,120166,80110,10013,8011,6008,4005
2019,May,201153,120691,80461,10057,8046,6034,4023
2019,Jun,202030,121218,80812,10101,8081,6060,4040
2019,Jul,202907,121744,81162,10145,8116,6087,4058
2019,Aug,203784,122270,81513,10189,8151,6113,4075
2019,Sep,204660,122796,81864,10233,8186,6139,4093
2019,Oct,185962,111577,74384,9298,7438,5578,3719
2019,Nov,186754,112052,74701,9337,7470,5602,3735
2019,Dec,187548,112528,75019,9377,7501,5626,3750
2019,Jan,188341,113004,75336,9417,7533,5650,3766
2019,Feb,189134,113480,75653,9456,7565,5674,3782
2019,Mar,189927,113956,75970,9496,7597,5697,3798
2020,Apr,210796,126477,84318,10539,8431,6323,4215
2020,May,211673,127003,84669,10583,8466,6350,4233
2020,Jun,212550,127530,85020,10627,8502,6376,4251
2020,Jul,213427,128056,85370,10671,8537,6402,4268
2020,Aug,214303,128581,85721,10715,8572,6429,4286
2020,Sep,215180,129108,86072,10759,8607,6455,4303
2020,Oct,195480,117288,78192,9774,7819,5864,3909
2020,Nov,196272,117763,78508,9813,7850,5888,3925
2020,Dec,197066,118239,78826,9853,7882,5911,3941
2020,Jan,197859,118715,79143,9892,7914,5935,3957
2020,Feb,198652,119191,79460,9932,7946,5959,3973
2020,Mar,199445,119667,79778,9972,7977,5983,3988
2021,Apr,221316,132789,88526,11065,8852,6639,4426
2021,May,222193,133315,88877,11109,8887,6665,4443
2021,Jun,223070,133842,89228,11153,8922,6692,4461
2021,Jul,223947,134368,89578,11197,8957,6718,4478
2021,Aug,224823,134893,89929,11241,8992,6744,4496
2021,Sep,225700,135420,90280,11285,9028,6771,4514
2021,Oct,204997,122998,81998,10249,8199,6149,4099
2021,Nov,205790,123474,82316,10289,8231,6173,4115
2021,Dec,206584,123950,82633,10329,8263,6197,4131
2021,Jan,207377,124426,82950,10368,8295,6221,4147
2021,Feb,208170,124902,83268,10408,8326,6245,4163
2021,Mar,208963,125377,83585,10448,8358,6268,4179
2022,Apr,231836,139101,92734,11591,9273,6955,4636
2022,May,232713,139627,93085,11635,9308,6981,4654
2022,Jun,233590,140154,93436,11679,9343,7007,4671
2022,Jul,234467,140680,93786,11723,9378,7034,4689
